LCD (Å)-P,PLD (Å)-P,LCD/PLD,Density (g/cm3)-P,Porosity-P,PV (cm3/g)-P,C%-P,H%-P,N%-P,O%-P,Metal%-P,Halogen%-P,Metalloids%-P,Ametal%-P,TDU-P,DU-P,MP-P,OtoM-P,CO2_Qst,CO2 Uptake (mol/kg)-P-1 bar-Single
9.65894,9.5581,1.01055021395466,1.05484,0.58331808128,0.552992,35.7142857142857,39.2857142857143,7.14285714285714,14.2857142857143,3.57142857142857,0,0,0,325,0.451388888888889,0.1,4,12.9388219804,0.4485559094
10.31257,10.20612,1.0104300164999,1.1657,0.6088392815,0.522295,34.6153846153846,42.3076923076923,7.69230769230769,7.69230769230769,3.84615384615385,3.84615384615385,0,0,253,0.390432098765432,0.111111111111111,2,14.029642044,0.5123475655
9.89385,9.77943,1.0117000684089,1.03174,0.60760097166,0.588909,34.6153846153846,42.3076923076923,7.69230769230769,7.69230769230769,3.84615384615385,3.84615384615385,0,0,253,0.390432098765432,0.111111111111111,2,14.7958582308,0.5888960488
7.71852,7.60093,1.01547047532341,1.20493,0.48880033831,0.405667,34.2105263157895,47.3684210526316,5.26315789473684,10.5263157894737,2.63157894736842,0,0,0,289,0.308760683760684,0.0769230769230769,4,16.4807438544,0.5408695192
9.61884,9.49812,1.01270988364013,1.11995,0.53542009625,0.478075,35.2941176470588,44.1176470588235,5.88235294117647,11.7647058823529,2.94117647058824,0,0,0,325,0.376157407407407,0.0833333333333333,4,15.4540850395,0.6637302981
7.55271,7.20236,1.04864377787281,1.44288,0.45368042976,0.314427,46.9387755102041,30.6122448979592,0,18.3673469387755,4.08163265306122,0,0,0,621,0.675,0.0869565217391304,4.5,18.3813700435,1.6176947444
16.1709,10.50867,1.53881509268062,0.843919,0.754479620461,0.894019,34.7826086956522,11.5942028985507,46.3768115942029,0,5.79710144927536,1.44927536231884,0,0,481,0.835069444444444,0.166666666666667,0,15.7045803475,1.2792279517
10.58965,8.54266,1.23961974373322,0.499829,0.80242047831,1.60539,54.3478260869565,28.2608695652174,2.17391304347826,11.9565217391304,3.26086956521739,0,0,0,297,0.7425,0.06,3.66666666666667,10.9103614882,0.9913872897
10.48182,8.62307,1.21555548082064,0.830424,0.619340184288,0.745812,38.5964912280702,45.6140350877193,3.50877192982456,10.5263157894737,1.75438596491228,0,0,0,217,0.410984848484849,0.0454545454545455,6,13.4010823312,0.5050107839
10.02152,8.19038,1.22357204427633,0.84668,0.61288032484,0.723863,38.5964912280702,45.6140350877193,3.50877192982456,10.5263157894737,1.75438596491228,0,0,0,217,0.410984848484849,0.0454545454545455,6,13.8124423442,0.5423583245
19.70982,7.99279,2.46594993738106,0.409555,0.83502121175,2.03885,51.063829787234,28.7234042553192,12.7659574468085,3.19148936170213,4.25531914893617,0,0,0,277,0.721354166666667,0.0833333333333333,0.75,10.4861896693,0.7941003377
12.14124,8.92134,1.36092111723127,0.595625,0.80844,1.35729695697796,55.9322033898305,30.5084745762712,0,11.0169491525424,2.54237288135593,0,0,0,385,0.729166666666667,0.0454545454545455,4.33333333333333,14.4672883456,1.3654892299
11.98556,10.18096,1.1772524398485,0.617151,0.77496268221,1.25571,48.9795918367347,30.6122448979592,2.04081632653061,16.3265306122449,2.04081632653061,0,0,0,595,0.688657407407407,0.0416666666666667,8,16.2850119692,2.349191783
8.63632,6.58696,1.31112379610625,1.31659,0.50588127524,0.384236,55.8139534883721,0,13.953488372093,27.906976744186,2.32558139534884,0,0,0,769,1.00130208333333,0.0416666666666667,12,14.8994178867,0.4435511971
9.55253,8.36314,1.14221811424895,1.61569,0.49990094876,0.309404,17.7777777777778,35.5555555555556,4.44444444444444,28.8888888888889,6.66666666666667,0,0,6.66666666666667,1,0.00173611111111111,0.375,4.33333333333333,28.7825884273,1.0707663328
8.80878,8.09263,1.08849409895176,0.76874,0.70103937442,0.911933,38.2165605095541,40.7643312101911,5.73248407643312,10.1910828025478,3.82165605095541,0,0.636942675159236,0.636942675159236,449,0.467708333333333,0.1,2.66666666666667,18.5726727034,1.5012795268
18.61448,16.92881,1.09957403975826,0.43749,0.838799577,1.9173,51.6129032258064,25.8064516129032,2.58064516129032,15.4838709677419,4.51612903225806,0,0,0,361,0.752083333333333,0.0875,3.42857142857143,12.3519795616,1.1168013615
6.55467,6.38586,1.02643496725578,1.38595,0.5341395862,0.385396,31.5789473684211,10.5263157894737,52.6315789473684,0,5.26315789473684,0,0,0,361,0.835648148148148,0.166666666666667,0,19.4448740028,1.628095996
10.54164,9.08253,1.16065017126285,0.445249,0.81676031311,1.83439,61.9047619047619,0,17.4603174603175,15.8730158730159,4.76190476190476,0,0,0,625,1.00160256410256,0.0769230769230769,3.33333333333333,16.4528290706,1.15556566
19.57408,7.53242,2.59864426041033,0.399521,0.8156221215,2.0415,88.1516587677725,0,0,7.58293838862559,1.4218009478673,0,0,2.8436018957346,1489,1.00067204301075,0.0161290322580645,5.33333333333333,10.938926165,0.8115504477
18.28409,9.88931,1.8488741883913,0.498373,0.85009974475,1.70575,53.9325842696629,26.9662921348315,0,14.6067415730337,4.49438202247191,0,0,0,289,0.752604166666667,0.0833333333333333,3.25,13.6913091944,1.8996131136
11.94829,11.34475,1.05319993829745,0.870249,0.615800375886,0.707614,47.3684210526316,37.719298245614,12.280701754386,0.87719298245614,1.75438596491228,0,0,0,521,0.603009259259259,0.037037037037037,0.5,21.252106708,1.1010755741
8.36121,7.81351,1.07009653791958,0.894084,0.608219416764,0.680271,48.2142857142857,37.5,12.5,0,1.78571428571429,0,0,0,397,0.612654320987654,0.037037037037037,0,17.131489528,1.4620275156
17.71525,10.41944,1.70021133573397,0.875129,0.681840132899,0.779131,47.2573839662447,43.8818565400844,0,7.17299578059072,1.68776371308017,0,0,0,1441,0.53608630952381,0.0357142857142857,4.25,23.6740484607,1.2617447243
6.48039,6.16628,1.05093995082935,1.20717,0.55427814135,0.459155,43.9024390243902,34.1463414634146,9.75609756097561,9.75609756097561,2.4390243902439,0,0,0,705,0.611979166666667,0.0555555555555556,4,18.5697465787,1.9701684997
9.93787,6.76358,1.46932098090065,0.61836,0.8416992648,1.36118,31.5789473684211,15.7894736842105,15.7894736842105,21.0526315789474,15.7894736842105,0,0,0,289,0.752604166666667,0.5,1.33333333333333,9.2586714746,0.4900978803
10.48789,6.50273,1.61284414392109,0.493389,0.84812088933,1.71897,46.1538461538462,15.3846153846154,0,30.7692307692308,7.69230769230769,0,0,0,361,0.835648148148148,0.166666666666667,4,14.3458261045,1.5694232922
10.87798,8.55612,1.27136833050495,0.736898,0.697039924078,0.945911,47.0588235294118,31.3725490196078,19.6078431372549,0,1.96078431372549,0,0,0,433,0.66820987654321,0.0416666666666667,0,18.9514849236,3.0529945922
10.82574,8.62627,1.25497347057303,0.699925,0.70588136175,1.00851,47.0588235294118,31.3725490196078,19.6078431372549,0,1.96078431372549,0,0,0,289,0.668981481481482,0.0416666666666667,0,18.0304028086,2.8532974282
7.41793,6.4348,1.15278330328837,0.813741,0.735439586016,0.903776,18.1818181818182,0,72.7272727272727,0,9.09090909090909,0,0,0,161,1.00625,0.5,0,20.5030036189,4.6286381322
8.94366,8.46409,1.05665936917022,1.07172,0.63191719188,0.589629,39.0243902439024,24.390243902439,2.4390243902439,26.8292682926829,7.31707317073171,0,0,0,793,0.688368055555556,0.1875,3.66666666666667,19.4166394451,2.195703948
7.88354,6.5374,1.20591366598342,1.00359,0.54341989884,0.541476,35.2941176470588,48.5294117647059,4.41176470588235,9.55882352941176,2.20588235294118,0,0,0,241,0.313802083333333,0.0625,4.33333333333333,14.5682536087,0.3862860896
8.06449,6.43084,1.25403368766755,0.994088,0.646419639232,0.650264,38.2978723404255,32.9787234042553,9.57446808510638,13.8297872340426,5.31914893617021,0,0,0,329,0.571180555555556,0.138888888888889,2.6,25.4058261747,2.9827604747
14.41997,8.00045,1.80239486528883,0.707273,0.686580313839,0.970743,52.0992366412214,37.2137404580153,0.763358778625954,8.01526717557252,1.90839694656489,0,0,0,1405,0.643315018315018,0.0366300366300366,4.2,17.8342370837,1.5386556218
10.94156,9.81691,1.11456252527526,0.733723,0.657740113566,0.896442,45.8333333333333,40.8333333333333,2.5,9.16666666666667,1.66666666666667,0,0,0,489,0.555681818181818,0.0363636363636364,5.5,20.6372001911,1.9606077712
8.90755,6.80027,1.30988181351623,0.613586,0.76076073796,1.23986,48,24,4,20,4,0,0,0,433,0.751736111111111,0.0833333333333333,5,16.1099742338,2.5048140828
7.02334,6.38689,1.09964943814595,1.685,0.53278015,0.31619,42.5531914893617,12.7659574468085,0,38.2978723404255,6.38297872340426,0,0,0,545,0.8515625,0.15,6,22.5621844938,4.2836946661
6.64723,6.03524,1.10140276111638,1.15832,0.50525802568,0.436199,35.1648351648352,39.5604395604396,8.79120879120879,13.1868131868132,1.0989010989011,2.1978021978022,0,0,337,0.438802083333333,0.03125,12,17.3803352925,0.8948875721
15.21239,13.05982,1.16482386434116,0.632118,0.72907858002,1.15339,54.6728971962617,33.6448598130841,1.4018691588785,8.41121495327103,1.86915887850467,0,0,0,649,0.693376068376068,0.0341880341880342,4.5,14.4052169043,1.1828620192
9.08516,8.30241,1.09427985368104,1.0635,0.643402611,0.604986,44.4444444444444,0,25.3968253968254,1.58730158730159,3.17460317460317,25.3968253968254,0,0,449,1.00223214285714,0.0714285714285714,0.5,27.1713750156,4.6857546425
